ID,Cell_type,Brain_region,Trough_Peak_latency,ACG_tau_decay,ACG_tau_rise,Peak_asymmetry,Burst_index,RF_violation
0,Wide Interneuron,VISp,0.716666666666667,8.85699237944208,8.8782007234064,1.0769662209911,0.0706787963610917,0.404367165386171
1,Pyramidal Cell,VISp,0.633333333333333,11.1180767200461,2.06571119034532,1.1005475947062,4.10131255127153,3.98072491095747
2,Wide Interneuron,VISp,0.741666666666667,17.2783372069075,7.94861287897783,1.02343309238525,0,0.0931879601155531
3,Pyramidal Cell,DG,0.591666666666667,6.16453100441991,0.527944381862698,1.02679310989785,166.229166666667,3.2258064516129
4,Wide Interneuron,VISp,0.608333333333333,4.56680747739784,3.90642294880163,-0.138177315455929,1.78396739130435,2.74977085242896
5,Wide Interneuron,VISp,0.708333333333333,55.3160609390801,20.3309872984387,0.85146397436844,0,0
6,Wide Interneuron,SUB,0.541666666666667,7.15191795430083,5.99022719802156,1.0056485060168,11.6538461538462,0
7,Pyramidal Cell,DG,0.666666666666667,6.36368000197046,0.515844558159133,0.597080012908637,32.7940356744705,4.76129198301377
8,Pyramidal Cell,VISp,0.583333333333333,2.68708838301629,2.22028623260603,1.06400677496455,5.94117647058824,0
9,Narrow Interneuron,VISp,0.4,17.2588364183978,12.2325449591956,1.010195306821,1.37414965986395,0
10,Wide Interneuron,SUB,0.541666666666667,17.3374374259766,5.93180185883157,1.04709784504977,0,0
11,Pyramidal Cell,DG,0.508333333333333,14.1111063502817,0.351813640881962,0.135709328529381,140.277777777778,26.2430939226519
12,Wide Interneuron,VISp,0.533333333333333,96.2897193027691,4.08041700795531,1.01208129568877,5.50320512820512,2.56739409499358
13,Pyramidal Cell,VISp,0.558333333333333,12.0410347703302,2.2878915274009,0.929871142429291,21.3222222222222,6.10820244328098
14,Pyramidal Cell,SUB,0.55,1.4277110702786,1.13498427428067,0.888106513442335,2.51104972375691,0.417101147028154
15,Narrow Interneuron,VISp,0.425,18.9128644780946,3.0393654961201,1.1229430228015,0,0
16,Wide Interneuron,VISp,0.533333333333333,74.7951576122809,2.11823393979998,1.0518905191967,10.9048843187661,0
17,Wide Interneuron,VISp,0.583333333333333,5.84289083230483,5.07503970176881,1.0640064795548,8.41666666666667,6.02409638554217
18,Narrow Interneuron,SUB,0.416666666666667,7.83231410736179,4.40768958397606,0.496686661527087,3.74074074074074,0
19,Pyramidal Cell,SUB,0.608333333333333,1.67076674296763,1.49880781670701,1.01047845656131,9.83779854620976,11.3977204559088
20,Wide Interneuron,DG,0.475,57.5605706478429,23.2800339619285,0.800693339527072,0.0242535820059233,0.122018180708926
21,Wide Interneuron,VISp,0.733333333333333,14.2889200254184,15.2692149684666,1.01787607376958,0,0
22,Wide Interneuron,SUB,0.616666666666667,5.62801460956113,4.01767713337732,1.01733988233967,5.41071428571429,1.0351966873706
23,Wide Interneuron,VISp,0.575,6.4089825215044,4.60917830217766,1.16065465802058,0,0
24,Wide Interneuron,VISp,0.775,4.30049288917632,4.29975236619897,0.0623556713255934,0,0
25,Wide Interneuron,VISp,0.658333333333333,39.2505016715534,10.7665544203062,-0.227363191220814,0.379699248120301,0
26,Pyramidal Cell,DG,0.675,6.31997228635742,0.128591179099537,0.855777285413419,72.6707317073171,3.11203319502075
