ID,Cell_type,Brain_region,Trough_Peak_latency,ACG_tau_decay,ACG_tau_rise,Peak_asymmetry,Burst_index,RF_violation
0,Pyramidal Cell,VISam,0.45,12.461642306117,0.667584521284187,1.04120756521068,5.86721991701245,10.2827763496144
1,Wide Interneuron,VISam,0.85,42.5930738442493,19.0950062379776,0.85273812784135,1.32284634080475,3.68378398290724
2,Narrow Interneuron,ZI,0.333333333333333,36.3725502984151,7.50075666797248,0.973999389957218,0.510101010101009,2.10084033613445
3,Narrow Interneuron,DG,0.383333333333333,11.2051910385265,0.821695205938055,0.882488470014616,20.3060531192094,0.273037542662116
4,Narrow Interneuron,DG,0.225,493.691993582459,0.829622398239562,1.01267220782874,472.41935483871,0
5,Wide Interneuron,CA1,1.00833333333333,50.4619727605391,3.52651611129113,0.826799485110336,21.4469135802469,5.64573041637262
6,Narrow Interneuron,LGd,0.416666666666667,10.3389371364051,2.01518913060573,0.817625887345911,12.4035087719298,0.896860986547085
7,Pyramidal Cell,LGd,0.433333333333333,1.36369502173342,1.05941846021946,0.994279991981208,6.82432432432432,0
8,Pyramidal Cell,CA1,0.575,5.37718774309432,1.09760859646869,0.272361448187105,36.9328358208955,18.8517566409597
9,Narrow Interneuron,ZI,0.408333333333333,7.4342296573341,7.48000649253824,0.82112872226213,3.98684210526316,2.20913107511046
10,Pyramidal Cell,CA1,0.958333333333333,9.1172463274678,0.633897787709985,-0.209208714754311,88.3749999999999,0
11,Wide Interneuron,LGd,0.483333333333333,17.087148087064,5.9040563603754,0.729777062717019,0,0
12,Narrow Interneuron,LGd,0.416666666666667,11.8099656765489,3.98811460519903,0.985024612774847,6.58695652173914,0.861326442721792
13,Narrow Interneuron,LGd,0.425,22.7831411240432,2.1188954466107,0.738090577613606,6.45488721804511,6.98016164584864
14,Wide Interneuron,CA1,1.03333333333333,48.3374589093982,13.3889293349077,0.0900122794303882,1.57351509250243,0
15,Wide Interneuron,CA1,0.883333333333333,9.66461050700316,3.05850519288713,0.553671476435594,12.4520547945205,3.6281179138322
16,Narrow Interneuron,LGd,0.416666666666667,7.99922576103174,6.77326836287087,0.825568532931565,2.4734693877551,2.64550264550265
17,Wide Interneuron,LGd,0.483333333333333,7.19168088536963,6.36670923457248,0.998123358947491,3.71323529411765,1.52963671128107
18,Narrow Interneuron,DG,0.408333333333333,67.2956427546353,4.02861901511806,0.41508591825205,0.133815115928937,0.0525817646440215
19,Pyramidal Cell,DG,0.5,10.5782631156705,0.564537850296449,0.744913201410083,606,20.3703703703704
20,Wide Interneuron,VISam,0.633333333333333,10.3230530314341,22.4662191472302,1.00395050566675,0.0357572753664236,0.0427569693860099
21,Narrow Interneuron,VISam,0.408333333333333,18.3487195933025,5.45837303738766,1.04060147126143,0.487407630824913,0
22,Pyramidal Cell,DG,0.575,1.20923891787347,1.01733178969814,0.887152098679415,10.2331136738056,4.12087912087912
23,Pyramidal Cell,LGd,0.516666666666667,2.79469432375067,2.6713544614338,0.953555049985874,4.2021897810219,3.81436745073109
24,Narrow Interneuron,DG,0.366666666666667,5.42843803604902,6.06502275094118,1.01940147391503,0.0664692333004278,0.321322010557723
25,Narrow Interneuron,CA1,0.25,20.0092854122272,0.211691856111775,0.540113889877242,50.7079237038904,96.8419625914882
26,Wide Interneuron,CA1,0.675,6.58961079792696,4.71584327390344,-0.182103010877823,1.00217054263566,2.13903743315508
27,Wide Interneuron,LGd,0.433333333333333,7.93415485212465,5.52452050814866,0.856576540863147,3.64828897338403,1.47754137115839
28,Pyramidal Cell,CA1,0.875,2.54471414248659,2.45652022276493,0.489436506720523,8.46073298429319,0.45024763619991
29,Narrow Interneuron,LGd,0.4,57.0603105561241,10.7620633908585,0.343944224718664,2.42968989196518,3.73134328358209
30,Wide Interneuron,LGd,0.45,16.6536057502223,11.280326067743,1.02941765240909,1.93756539937217,1.64141414141414
31,Wide Interneuron,CA1,0.908333333333333,22.3846342011774,9.18670193240108,0.378349363119314,3.57522123893805,1.71919770773639
32,Narrow Interneuron,LGd,0.416666666666667,164.220299156217,1.0262114667951,0.984193934811115,10.0469065911848,2.27972187393138
33,Wide Interneuron,LGd,0.433333333333333,83.5859025196486,3.99558208281589,1.00134718619264,3.17040358744395,2.01884253028264
34,Pyramidal Cell,LGd,0.433333333333333,1.75926941165784,1.73094681379452,0.994280947132909,6.67021729867917,6.08493008803729
35,Wide Interneuron,CA1,0.85,68.871198272961,15.001374235016,0.149794273200041,6.0948275862069,1.20336943441637
36,Narrow Interneuron,LGd,0.408333333333333,3.06642747304647,2.97359599072671,0.852621354931931,4.41149425287357,1.56188988676298
